segclass,funclass,x,y
Z,7,6263663.247,1984275.093
5,L,6263781.874,1984811.528
Z,7,6263418.603,1984806.742
Z,7,6263408.522,1984533.929
Z,7,6263390.368,1984276.653
Z,7,6263387.056,1984187.015
5,L,6258253.999,2006800.018
4,C,6162078.137,2081643.46
4,C,6179560.002,2067479.562
5,L,6257535.005,2019639.5
M,M,6243749.462,2068164.802
4,C,6164101.674,2080468.987
4,C,6166293.599,2078856.205
5,L,6259306.249,2021176.429
Z,7,6231481.186,2024471.142
Z,7,6231847.067,2024468.312
3,4,6259243.931,2014164.149
3,4,6259388.513,2014336.702
Z,7,6231587.437,2024630.387
5,L,6264267.284,1984192.32
W,W,6269362.492,1926621.313
5,L,6264214.231,1984569.767
Z,7,6264726.71,1984448.086
5,L,6321971.862,1806943.615
5,L,6262372.87,1842342.37
Z,7,6229726.994,2028067.006
Z,7,6229454.994,2028064.5
Z,7,6229262.994,2028148.994
Z,7,6229645.496,2028124.998
M,M,6256196.148,1838438.357
5,L,6274206.463,1983875.702
M,M,6257332.108,1836811.447
M,M,6256891.307,1835975.04
M,M,6257913.054,1838139.882
M,M,6257403.496,1837940.984
5,L,6250209.796,1932477.132
Z,7,6378787.19,1870533.521
M,M,6256782.008,1838211.016
M,M,6256781.501,1838393.021
Z,7,6252545.11,2013875.404
Z,7,6263175.639,1992511.753
5,L,6262696.649,1908934.766
W,W,6283737.735,1998901.509
P,P,6240753.426,1990549.443
5,L,6261369.96,2022982.035
5,L,6320468.017,1897103.545
5,L,6257720.764,2026580.168
M,M,6294649.239,1899850.59
P,P,6258681.926,2016423.497
5,L,6272161.646,2002304.328
5,L,6272059.948,2002185.276
Z,7,6266076.078,1981802.343
4,L,6382907.939,1975500.372
5,L,6264277.985,1871728.509
M,M,6257196.5,1831675.031
M,M,6258065.125,1837653.136
M,M,6256554.203,1837692.393
M,M,6256423.246,1837516.004
M,M,6257698.382,1837662.049
M,M,6257884.628,1837417.556
5,L,6274282.288,1983476.314
4,C,6283267.479,1998086.518
5,U,6279937.649,1950692.772
5,L,6272049.653,2002016.737
Z,7,6229061.694,2028455.312
Z,7,6255340.733,2028838.215
5,L,6260842.897,2019840.877
5,L,6262178.112,2011201.431
3,D,6262284.711,2010937.398
5,L,6289965.1,2000956.233
5,L,6289615.627,2000889.54
5,L,6262310.253,2011067.325
M,M,6297108.235,1892761.512
5,L,6330350.45,1980289.68
5,L,6248430.719,1889108.125
Z,7,6295495.991,2039411.304
5,L,6260499.5,2025971.981
5,L,6231660.826,2028132.202
P,P,6282803.931,2008148.527
5,L,6258991.958,1862936.415
5,L,6262400.018,1842219.867
P,P,6295019.427,1851911.457
5,L,6231237.827,2028424.135
Z,7,6251176.53,1983346.867
5,L,6231846.503,2028120.998
M,M,6269999.132,1851818.982
M,M,6270344.911,1851556.012
M,M,6270088.526,1851480.723
M,M,6256368.25,1838051.388
5,L,6275220.493,2046356.99
5,L,6261793.01,1974695.879
6,U,6304096.5,1796064.001
Z,7,6271865.617,2003911.34
3,D,6258458.872,1855812.066
Z,7,6290748.985,1949491.285
Z,7,6290364.914,1948649.038
5,L,6262377.078,2012180.533
6,U,6347115.588,1892297.139
6,U,6346451.344,1891406.167
P,P,6376349.006,2057925.959
P,P,6376340.0,2057250.981
Z,7,6341347.93,1885970.713
W,W,6350964.385,1893649.954
7,7,6263957.95,2014105.995
5,L,6298337.128,1877040.67
5,L,6297696.767,1875460.173
5,L,6298242.5,1875052.997
7,7,6263836.148,2014140.449
5,L,6262409.713,2012044.58
5,L,6262496.358,2012110.501
P,P,6262231.614,2012334.131
5,L,6298388.224,1876740.989
M,M,6256950.556,1831346.838
5,L,6248298.19,1889077.097
5,L,6252575.335,2045211.353
3,4,6304816.163,1821316.504
M,M,6285736.504,1844279.002
5,L,6258848.15,2023869.947
5,L,6253446.801,2045995.065
5,L,6253281.14,2045842.349
M,M,6269267.497,1851548.969
5,L,6253474.942,2046024.746
5,L,6260802.248,2024736.223
5,L,6253547.889,2046292.206
5,L,6253533.988,2046141.647
Z,7,6290689.107,1949140.957
Z,7,6290825.605,1949560.94
M,M,6285801.0,1844216.0
5,L,6253167.775,2045568.314
5,L,6253187.109,2045634.564
5,L,6252046.449,1938579.494
M,M,6285184.817,1845100.061
M,M,6285307.675,1845114.008
M,M,6285244.149,1844954.99
Z,7,6300724.994,1830537.325
M,M,6270397.247,1851176.235
M,M,6268945.954,1850768.658
M,M,6269068.29,1851717.052
M,M,6268723.666,1851554.879
M,M,6268860.057,1851489.986
M,M,6268539.553,1851390.899
M,M,6268571.913,1851661.142
Z,7,6341016.947,1888580.802
Z,7,6341313.339,1888822.605
Z,7,6341655.677,1888736.61
Z,7,6341306.775,1888415.485
Z,7,6342038.934,1888021.327
Z,7,6341774.445,1888856.687
Z,7,6341970.536,1888863.953
Z,L,6342054.006,1888477.102
Z,7,6341878.486,1888398.032
M,M,6285681.392,1900173.456
